Role,Business Area,Question,Reply,Industry,EmployeeCode
Engagement Manager,Digital Transformation, CRM Optimization - Salesforce,Yet to Acquire,Not Applicable/ Don't have experience in this Service Line,WAPL-MC-E0328
Engagement Manager,Digital Transformation, CRM Implementation -Zoho,Yet to Acquire,Not Applicable/ Don't have experience in this Service Line,WAPL-MC-E0328
Engagement Manager,Digital Transformation, CRM Optimization -Zoho,Yet to Acquire,Not Applicable/ Don't have experience in this Service Line,WAPL-MC-E0328
Engagement Manager,Digital Transformation, CRM Implementation -Hubspot,Yet to Acquire,Not Applicable/ Don't have experience in this Service Line,WAPL-MC-E0328
Engagement Manager,Digital Transformation, CRM Optimization - Hubspot,Yet to Acquire,Not Applicable/ Don't have experience in this Service Line,WAPL-MC-E0328
Engagement Manager,Digital Transformation, Consolidation Tool implementation - SAP Blackline,Yet to Acquire,Not Applicable/ Don't have experience in this Service Line,WAPL-MC-E0328
Engagement Manager,Digital Transformation, Consolidation Tool implementation - Hyperion,Yet to Acquire,Not Applicable/ Don't have experience in this Service Line,WAPL-MC-E0328
Engagement Manager,Digital Transformation, Procurement Tools Implementation - SAP Ariba,Yet to Acquire,Not Applicable/ Don't have experience in this Service Line,WAPL-MC-E0328
Engagement Manager,Digital Transformation, Procurement Tools Implementation - Vendor Portals,Yet to Acquire,Not Applicable/ Don't have experience in this Service Line,WAPL-MC-E0328
Engagement Manager,Digital Transformation, Workflow Automation - UI Path,Yet to Acquire,Not Applicable/ Don't have experience in this Service Line,WAPL-MC-E0328
Engagement Manager,Digital Transformation, Workflow Automation - Jira,Yet to Acquire,Not Applicable/ Don't have experience in this Service Line,WAPL-MC-E0328
Engagement Manager,Digital Transformation, Workflow Automation - Notion,Yet to Acquire,Not Applicable/ Don't have experience in this Service Line,WAPL-MC-E0328
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Coupa,Yet to Acquire,Not Applicable/ Don't have experience in this Service Line,WAPL-MC-E0328
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Procol,Yet to Acquire,Not Applicable/ Don't have experience in this Service Line,WAPL-MC-E0328
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Procore,Yet to Acquire,Not Applicable/ Don't have experience in this Service Line,WAPL-MC-E0328
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Oracle Supply chain,Yet to Acquire,Not Applicable/ Don't have experience in this Service Line,WAPL-MC-E0328
Engagement Manager,Digital Transformation, Tech stack blueprint,Yet to Acquire,B2B Distribution,WAPL-MC-E0527
Engagement Manager,Digital Transformation, ERP Implementation -SAP HANA,Yet to Acquire,B2B Distribution,WAPL-MC-E0527
Engagement Manager,Digital Transformation, ERP Optimization -SAP HANA,Yet to Acquire,B2B Distribution,WAPL-MC-E0527
Engagement Manager,Digital Transformation, ERP Implementation -Netsuite,Yet to Acquire,B2B Distribution,WAPL-MC-E0527
Engagement Manager,Digital Transformation, ERP Optimization -Netsuite,Yet to Acquire,B2B Distribution,WAPL-MC-E0527
Engagement Manager,Digital Transformation, ERP Implementation -D365,Yet to Acquire,B2B Distribution,WAPL-MC-E0527
Engagement Manager,Digital Transformation, ERP Optimization -D365,Yet to Acquire,B2B Distribution,WAPL-MC-E0527
Engagement Manager,Digital Transformation, ERP Implementation -Zoho,Yet to Acquire,B2B Distribution,WAPL-MC-E0527
Engagement Manager,Digital Transformation, ERP Optimization -Zoho,Yet to Acquire,B2B Distribution,WAPL-MC-E0527
Engagement Manager,Digital Transformation, CRM Implementation - Salesforce,Yet to Acquire,B2B Distribution,WAPL-MC-E0527
Engagement Manager,Digital Transformation, CRM Optimization - Salesforce,Yet to Acquire,B2B Distribution,WAPL-MC-E0527
Engagement Manager,Digital Transformation, CRM Implementation -Zoho,Yet to Acquire,B2B Distribution,WAPL-MC-E0527
Engagement Manager,Digital Transformation, CRM Optimization -Zoho,Yet to Acquire,B2B Distribution,WAPL-MC-E0527
Engagement Manager,Digital Transformation, CRM Implementation -Hubspot,Yet to Acquire,B2B Distribution,WAPL-MC-E0527
Engagement Manager,Digital Transformation, CRM Optimization - Hubspot,Yet to Acquire,B2B Distribution,WAPL-MC-E0527
Engagement Manager,Digital Transformation, Consolidation Tool implementation - SAP Blackline,Yet to Acquire,B2B Distribution,WAPL-MC-E0527
Engagement Manager,Digital Transformation, Consolidation Tool implementation - Hyperion,Yet to Acquire,B2B Distribution,WAPL-MC-E0527
Engagement Manager,Digital Transformation, Procurement Tools Implementation - SAP Ariba,Yet to Acquire,B2B Distribution,WAPL-MC-E0527
Engagement Manager,Digital Transformation, Procurement Tools Implementation - Vendor Portals,Yet to Acquire,B2B Distribution,WAPL-MC-E0527
Engagement Manager,Digital Transformation, Workflow Automation - UI Path,Yet to Acquire,B2B Distribution,WAPL-MC-E0527
Engagement Manager,Digital Transformation, Workflow Automation - Jira,Yet to Acquire,B2B Distribution,WAPL-MC-E0527
Engagement Manager,Digital Transformation, Workflow Automation - Notion,Yet to Acquire,B2B Distribution,WAPL-MC-E0527
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Coupa,Yet to Acquire,B2B Distribution,WAPL-MC-E0527
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Procol,Yet to Acquire,B2B Distribution,WAPL-MC-E0527
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Procore,Yet to Acquire,B2B Distribution,WAPL-MC-E0527
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Oracle Supply chain,Yet to Acquire,B2B Distribution,WAPL-MC-E0527
Engagement Manager,Digital Transformation, Tech stack blueprint,Yet to Acquire,Manufacturing - Textiles,WAPL-MC-C0205
Engagement Manager,Digital Transformation, BRD creation for tools,Yet to Acquire,Manufacturing - Textiles,WAPL-MC-C0205
Engagement Manager,Digital Transformation, ERP Implementation -SAP B1  ,Yet to Acquire,Manufacturing - Textiles,WAPL-MC-C0205
Engagement Manager,Digital Transformation, ERP Optimization -SAP B1,Yet to Acquire,Manufacturing - Textiles,WAPL-MC-C0205
Engagement Manager,Digital Transformation, ERP Implementation -SAP HANA,Yet to Acquire,Manufacturing - Textiles,WAPL-MC-C0205
Engagement Manager,Digital Transformation, ERP Optimization -SAP HANA,Yet to Acquire,Manufacturing - Textiles,WAPL-MC-C0205
Engagement Manager,Digital Transformation, ERP Implementation -Netsuite,Yet to Acquire,Manufacturing - Textiles,WAPL-MC-C0205
Engagement Manager,Digital Transformation, ERP Optimization -Netsuite,Yet to Acquire,Manufacturing - Textiles,WAPL-MC-C0205
Engagement Manager,Digital Transformation, ERP Implementation -D365,Yet to Acquire,Manufacturing - Textiles,WAPL-MC-C0205
Engagement Manager,Digital Transformation, ERP Optimization -D365,Yet to Acquire,Manufacturing - Textiles,WAPL-MC-C0205
Engagement Manager,Digital Transformation, ERP Implementation -Zoho,Yet to Acquire,Manufacturing - Textiles,WAPL-MC-C0205
Engagement Manager,Digital Transformation, ERP Optimization -Zoho,Yet to Acquire,Manufacturing - Textiles,WAPL-MC-C0205
Engagement Manager,Digital Transformation, CRM Implementation - Salesforce,Yet to Acquire,Manufacturing - Textiles,WAPL-MC-C0205
Engagement Manager,Digital Transformation, CRM Optimization - Salesforce,Yet to Acquire,Manufacturing - Textiles,WAPL-MC-C0205
Engagement Manager,Digital Transformation, CRM Implementation -Zoho,Yet to Acquire,Manufacturing - Textiles,WAPL-MC-C0205
Engagement Manager,Digital Transformation, CRM Optimization -Zoho,Yet to Acquire,Manufacturing - Textiles,WAPL-MC-C0205
Engagement Manager,Digital Transformation, CRM Implementation -Hubspot,Yet to Acquire,Manufacturing - Textiles,WAPL-MC-C0205
Engagement Manager,Digital Transformation, CRM Optimization - Hubspot,Yet to Acquire,Manufacturing - Textiles,WAPL-MC-C0205
Engagement Manager,Digital Transformation, Consolidation Tool implementation - SAP Blackline,Yet to Acquire,Manufacturing - Textiles,WAPL-MC-C0205
Engagement Manager,Digital Transformation, Consolidation Tool implementation - Hyperion,Yet to Acquire,Manufacturing - Textiles,WAPL-MC-C0205
Engagement Manager,Digital Transformation, Procurement Tools Implementation - SAP Ariba,Yet to Acquire,Manufacturing - Textiles,WAPL-MC-C0205
Engagement Manager,Digital Transformation, Procurement Tools Implementation - Vendor Portals,Yet to Acquire,Manufacturing - Textiles,WAPL-MC-C0205
Engagement Manager,Digital Transformation, Workflow Automation - UI Path,Yet to Acquire,Manufacturing - Textiles,WAPL-MC-C0205
Engagement Manager,Digital Transformation, Workflow Automation - Jira,Yet to Acquire,Manufacturing - Textiles,WAPL-MC-C0205
Engagement Manager,Digital Transformation, Workflow Automation - Notion,Yet to Acquire,Manufacturing - Textiles,WAPL-MC-C0205
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Coupa,Yet to Acquire,Manufacturing - Textiles,WAPL-MC-C0205
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Procol,Yet to Acquire,Manufacturing - Textiles,WAPL-MC-C0205
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Procore,Yet to Acquire,Manufacturing - Textiles,WAPL-MC-C0205
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Oracle Supply chain,Yet to Acquire,Manufacturing - Textiles,WAPL-MC-C0205
Engagement Manager,Digital Transformation, Tech stack blueprint,Yet to Acquire,IT/ITES,WAPL-MC-E0632
Engagement Manager,Digital Transformation, BRD creation for tools,Yet to Acquire,IT/ITES,WAPL-MC-E0632
Engagement Manager,Digital Transformation, ERP Optimization -SAP B1,Yet to Acquire,IT/ITES,WAPL-MC-E0632
Engagement Manager,Digital Transformation, ERP Implementation -SAP HANA,Yet to Acquire,IT/ITES,WAPL-MC-E0632
Engagement Manager,Digital Transformation, ERP Optimization -SAP HANA,Yet to Acquire,IT/ITES,WAPL-MC-E0632
Engagement Manager,Digital Transformation, ERP Implementation -Netsuite,Yet to Acquire,IT/ITES,WAPL-MC-E0632
Engagement Manager,Digital Transformation, ERP Optimization -Netsuite,Yet to Acquire,IT/ITES,WAPL-MC-E0632
Engagement Manager,Digital Transformation, ERP Implementation -D365,Yet to Acquire,IT/ITES,WAPL-MC-E0632
Engagement Manager,Digital Transformation, ERP Optimization -D365,Yet to Acquire,IT/ITES,WAPL-MC-E0632
Engagement Manager,Digital Transformation, ERP Implementation -Zoho,Yet to Acquire,IT/ITES,WAPL-MC-E0632
Engagement Manager,Digital Transformation, ERP Optimization -Zoho,Yet to Acquire,IT/ITES,WAPL-MC-E0632
Engagement Manager,Digital Transformation, CRM Implementation - Salesforce,Yet to Acquire,IT/ITES,WAPL-MC-E0632
Engagement Manager,Digital Transformation, CRM Optimization - Salesforce,Yet to Acquire,IT/ITES,WAPL-MC-E0632
Engagement Manager,Digital Transformation, CRM Implementation -Zoho,Yet to Acquire,IT/ITES,WAPL-MC-E0632
Engagement Manager,Digital Transformation, CRM Optimization -Zoho,Yet to Acquire,IT/ITES,WAPL-MC-E0632
Engagement Manager,Digital Transformation, CRM Implementation -Hubspot,Yet to Acquire,IT/ITES,WAPL-MC-E0632
Engagement Manager,Digital Transformation, Consolidation Tool implementation - SAP Blackline,Yet to Acquire,IT/ITES,WAPL-MC-E0632
Engagement Manager,Digital Transformation, Consolidation Tool implementation - Hyperion,Yet to Acquire,IT/ITES,WAPL-MC-E0632
Engagement Manager,Digital Transformation, Procurement Tools Implementation - Vendor Portals,Yet to Acquire,IT/ITES,WAPL-MC-E0632
Engagement Manager,Digital Transformation, Workflow Automation - UI Path,Yet to Acquire,IT/ITES,WAPL-MC-E0632
Engagement Manager,Digital Transformation, Workflow Automation - Jira,Yet to Acquire,IT/ITES,WAPL-MC-E0632
Engagement Manager,Digital Transformation, Workflow Automation - Notion,Yet to Acquire,IT/ITES,WAPL-MC-E0632
Engagement Manager,Digital Transformation, Workflow Automation - Power Automate,Yet to Acquire,IT/ITES,WAPL-MC-E0632
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Coupa,Yet to Acquire,IT/ITES,WAPL-MC-E0632
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Procol,Yet to Acquire,IT/ITES,WAPL-MC-E0632
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Procore,Yet to Acquire,IT/ITES,WAPL-MC-E0632
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Oracle Supply chain,Yet to Acquire,IT/ITES,WAPL-MC-E0632
Engagement Manager,Digital Transformation, Tech stack blueprint,Yet to Acquire,BFSI,WAPL-MC-E0610
Engagement Manager,Digital Transformation, Tech stack blueprint,Yet to Acquire,Pharmaceuticals,WAPL-MC-E0610
Engagement Manager,Digital Transformation, BRD creation for tools,Yet to Acquire,BFSI,WAPL-MC-E0610
Engagement Manager,Digital Transformation, BRD creation for tools,Yet to Acquire,Pharmaceuticals,WAPL-MC-E0610
Engagement Manager,Digital Transformation, ERP Implementation -SAP B1  ,Yet to Acquire,BFSI,WAPL-MC-E0610
Engagement Manager,Digital Transformation, ERP Implementation -SAP B1  ,Yet to Acquire,Pharmaceuticals,WAPL-MC-E0610
Engagement Manager,Digital Transformation, ERP Optimization -SAP B1,Yet to Acquire,BFSI,WAPL-MC-E0610
Engagement Manager,Digital Transformation, ERP Optimization -SAP B1,Yet to Acquire,Pharmaceuticals,WAPL-MC-E0610
Engagement Manager,Digital Transformation, ERP Implementation -SAP HANA,Yet to Acquire,BFSI,WAPL-MC-E0610
Engagement Manager,Digital Transformation, ERP Implementation -SAP HANA,Yet to Acquire,Pharmaceuticals,WAPL-MC-E0610
Engagement Manager,Digital Transformation, ERP Optimization -SAP HANA,Yet to Acquire,BFSI,WAPL-MC-E0610
Engagement Manager,Digital Transformation, ERP Optimization -SAP HANA,Yet to Acquire,Pharmaceuticals,WAPL-MC-E0610
Engagement Manager,Digital Transformation, ERP Implementation -D365,Yet to Acquire,BFSI,WAPL-MC-E0610
Engagement Manager,Digital Transformation, ERP Implementation -D365,Yet to Acquire,Pharmaceuticals,WAPL-MC-E0610
Engagement Manager,Digital Transformation, ERP Optimization -D365,Yet to Acquire,BFSI,WAPL-MC-E0610
Engagement Manager,Digital Transformation, ERP Optimization -D365,Yet to Acquire,Pharmaceuticals,WAPL-MC-E0610
Engagement Manager,Digital Transformation, ERP Implementation -Zoho,Yet to Acquire,BFSI,WAPL-MC-E0610
Engagement Manager,Digital Transformation, ERP Implementation -Zoho,Yet to Acquire,Pharmaceuticals,WAPL-MC-E0610
Engagement Manager,Digital Transformation, ERP Optimization -Zoho,Yet to Acquire,BFSI,WAPL-MC-E0610
Engagement Manager,Digital Transformation, ERP Optimization -Zoho,Yet to Acquire,Pharmaceuticals,WAPL-MC-E0610
Engagement Manager,Digital Transformation, CRM Implementation - Salesforce,Yet to Acquire,BFSI,WAPL-MC-E0610
Engagement Manager,Digital Transformation, CRM Implementation - Salesforce,Yet to Acquire,Pharmaceuticals,WAPL-MC-E0610
Engagement Manager,Digital Transformation, CRM Optimization - Salesforce,Yet to Acquire,BFSI,WAPL-MC-E0610
Engagement Manager,Digital Transformation, CRM Optimization - Salesforce,Yet to Acquire,Pharmaceuticals,WAPL-MC-E0610
Engagement Manager,Digital Transformation, CRM Implementation -Zoho,Yet to Acquire,BFSI,WAPL-MC-E0610
Engagement Manager,Digital Transformation, CRM Implementation -Zoho,Yet to Acquire,Pharmaceuticals,WAPL-MC-E0610
Engagement Manager,Digital Transformation, CRM Optimization -Zoho,Yet to Acquire,BFSI,WAPL-MC-E0610
Engagement Manager,Digital Transformation, CRM Optimization -Zoho,Yet to Acquire,Pharmaceuticals,WAPL-MC-E0610
Engagement Manager,Digital Transformation, CRM Implementation -Hubspot,Yet to Acquire,BFSI,WAPL-MC-E0610
Engagement Manager,Digital Transformation, CRM Implementation -Hubspot,Yet to Acquire,Pharmaceuticals,WAPL-MC-E0610
Engagement Manager,Digital Transformation, CRM Optimization - Hubspot,Yet to Acquire,BFSI,WAPL-MC-E0610
Engagement Manager,Digital Transformation, CRM Optimization - Hubspot,Yet to Acquire,Pharmaceuticals,WAPL-MC-E0610
Engagement Manager,Digital Transformation, Consolidation Tool implementation - SAP Blackline,Yet to Acquire,BFSI,WAPL-MC-E0610
Engagement Manager,Digital Transformation, Consolidation Tool implementation - SAP Blackline,Yet to Acquire,Pharmaceuticals,WAPL-MC-E0610
Engagement Manager,Digital Transformation, Consolidation Tool implementation - Hyperion,Yet to Acquire,BFSI,WAPL-MC-E0610
Engagement Manager,Digital Transformation, Consolidation Tool implementation - Hyperion,Yet to Acquire,Pharmaceuticals,WAPL-MC-E0610
Engagement Manager,Digital Transformation, Procurement Tools Implementation - SAP Ariba,Yet to Acquire,BFSI,WAPL-MC-E0610
Engagement Manager,Digital Transformation, Procurement Tools Implementation - SAP Ariba,Yet to Acquire,Pharmaceuticals,WAPL-MC-E0610
Engagement Manager,Digital Transformation, Workflow Automation - UI Path,Yet to Acquire,BFSI,WAPL-MC-E0610
Engagement Manager,Digital Transformation, Workflow Automation - UI Path,Yet to Acquire,Pharmaceuticals,WAPL-MC-E0610
Engagement Manager,Digital Transformation, Workflow Automation - Notion,Yet to Acquire,BFSI,WAPL-MC-E0610
Engagement Manager,Digital Transformation, Workflow Automation - Notion,Yet to Acquire,Pharmaceuticals,WAPL-MC-E0610
Engagement Manager,Digital Transformation, Workflow Automation - Power Automate,Yet to Acquire,BFSI,WAPL-MC-E0610
Engagement Manager,Digital Transformation, Workflow Automation - Power Automate,Yet to Acquire,Pharmaceuticals,WAPL-MC-E0610
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Coupa,Yet to Acquire,BFSI,WAPL-MC-E0610
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Coupa,Yet to Acquire,Pharmaceuticals,WAPL-MC-E0610
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Procol,Yet to Acquire,BFSI,WAPL-MC-E0610
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Procol,Yet to Acquire,Pharmaceuticals,WAPL-MC-E0610
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Procore,Yet to Acquire,BFSI,WAPL-MC-E0610
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Procore,Yet to Acquire,Pharmaceuticals,WAPL-MC-E0610
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Oracle Supply chain,Yet to Acquire,BFSI,WAPL-MC-E0610
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Oracle Supply chain,Yet to Acquire,Pharmaceuticals,WAPL-MC-E0610
Engagement Manager,Digital Transformation, ERP Implementation -SAP B1  ,Yet to Acquire,Logistics,WAPL-MC-E0584
Engagement Manager,Digital Transformation, ERP Implementation -SAP B1  ,Yet to Acquire,Manufacturing - Textiles,WAPL-MC-E0584
Engagement Manager,Digital Transformation, ERP Implementation -SAP B1  ,Yet to Acquire,Technology -  SaaS,WAPL-MC-E0584
Engagement Manager,Digital Transformation, ERP Optimization -SAP B1,Yet to Acquire,Logistics,WAPL-MC-E0584
Engagement Manager,Digital Transformation, ERP Optimization -SAP B1,Yet to Acquire,Manufacturing - Textiles,WAPL-MC-E0584
Engagement Manager,Digital Transformation, ERP Optimization -SAP B1,Yet to Acquire,Technology -  SaaS,WAPL-MC-E0584
Engagement Manager,Digital Transformation, ERP Implementation -SAP HANA,Yet to Acquire,Logistics,WAPL-MC-E0584
Engagement Manager,Digital Transformation, ERP Implementation -SAP HANA,Yet to Acquire,Manufacturing - Textiles,WAPL-MC-E0584
Engagement Manager,Digital Transformation, ERP Implementation -SAP HANA,Yet to Acquire,Technology -  SaaS,WAPL-MC-E0584
Engagement Manager,Digital Transformation, ERP Optimization -SAP HANA,Yet to Acquire,Logistics,WAPL-MC-E0584
Engagement Manager,Digital Transformation, ERP Optimization -SAP HANA,Yet to Acquire,Manufacturing - Textiles,WAPL-MC-E0584
Engagement Manager,Digital Transformation, ERP Optimization -SAP HANA,Yet to Acquire,Technology -  SaaS,WAPL-MC-E0584
Engagement Manager,Digital Transformation, CRM Implementation -Hubspot,Yet to Acquire,Logistics,WAPL-MC-E0584
Engagement Manager,Digital Transformation, CRM Implementation -Hubspot,Yet to Acquire,Manufacturing - Textiles,WAPL-MC-E0584
Engagement Manager,Digital Transformation, CRM Implementation -Hubspot,Yet to Acquire,Technology -  SaaS,WAPL-MC-E0584
Engagement Manager,Digital Transformation, CRM Optimization - Hubspot,Yet to Acquire,Logistics,WAPL-MC-E0584
Engagement Manager,Digital Transformation, CRM Optimization - Hubspot,Yet to Acquire,Manufacturing - Textiles,WAPL-MC-E0584
Engagement Manager,Digital Transformation, CRM Optimization - Hubspot,Yet to Acquire,Technology -  SaaS,WAPL-MC-E0584
Engagement Manager,Digital Transformation, Consolidation Tool implementation - SAP Blackline,Yet to Acquire,Logistics,WAPL-MC-E0584
Engagement Manager,Digital Transformation, Consolidation Tool implementation - SAP Blackline,Yet to Acquire,Manufacturing - Textiles,WAPL-MC-E0584
Engagement Manager,Digital Transformation, Consolidation Tool implementation - SAP Blackline,Yet to Acquire,Technology -  SaaS,WAPL-MC-E0584
Engagement Manager,Digital Transformation, Procurement Tools Implementation - SAP Ariba,Yet to Acquire,Logistics,WAPL-MC-E0584
Engagement Manager,Digital Transformation, Procurement Tools Implementation - SAP Ariba,Yet to Acquire,Manufacturing - Textiles,WAPL-MC-E0584
Engagement Manager,Digital Transformation, Procurement Tools Implementation - SAP Ariba,Yet to Acquire,Technology -  SaaS,WAPL-MC-E0584
Engagement Manager,Digital Transformation, Workflow Automation - UI Path,Yet to Acquire,Logistics,WAPL-MC-E0584
Engagement Manager,Digital Transformation, Workflow Automation - UI Path,Yet to Acquire,Manufacturing - Textiles,WAPL-MC-E0584
Engagement Manager,Digital Transformation, Workflow Automation - UI Path,Yet to Acquire,Technology -  SaaS,WAPL-MC-E0584
Engagement Manager,Digital Transformation, Workflow Automation - Notion,Yet to Acquire,Logistics,WAPL-MC-E0584
Engagement Manager,Digital Transformation, Workflow Automation - Notion,Yet to Acquire,Manufacturing - Textiles,WAPL-MC-E0584
Engagement Manager,Digital Transformation, Workflow Automation - Notion,Yet to Acquire,Technology -  SaaS,WAPL-MC-E0584
Engagement Manager,Digital Transformation, Workflow Automation - Power Automate,Yet to Acquire,Logistics,WAPL-MC-E0584
Engagement Manager,Digital Transformation, Workflow Automation - Power Automate,Yet to Acquire,Manufacturing - Textiles,WAPL-MC-E0584
Engagement Manager,Digital Transformation, Workflow Automation - Power Automate,Yet to Acquire,Technology -  SaaS,WAPL-MC-E0584
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Coupa,Yet to Acquire,Logistics,WAPL-MC-E0584
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Coupa,Yet to Acquire,Manufacturing - Textiles,WAPL-MC-E0584
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Coupa,Yet to Acquire,Technology -  SaaS,WAPL-MC-E0584
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Procol,Yet to Acquire,Logistics,WAPL-MC-E0584
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Procol,Yet to Acquire,Manufacturing - Textiles,WAPL-MC-E0584
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Procol,Yet to Acquire,Technology -  SaaS,WAPL-MC-E0584
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Procore,Yet to Acquire,Logistics,WAPL-MC-E0584
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Procore,Yet to Acquire,Manufacturing - Textiles,WAPL-MC-E0584
Engagement Manager,Digital Transformation, Supply chain Optimization tools -Procore,Yet to Acquire,Technology -  SaaS,WAPL-MC-E0584
Engagement Manager,Digital Transformation, Tech stack blueprint,Yet to Acquire,B2B Distribution,WAPL-MC-E0606
Engagement Manager,Digital Transformation, Tech stack blueprint,Yet to Acquire,Logistics,WAPL-MC-E0606
Engagement Manager,Digital Transformation, Tech stack blueprint,Yet to Acquire,Others,WAPL-MC-E0606
Engagement Manager,Digital Transformation, BRD creation for tools,Yet to Acquire,B2B Distribution,WAPL-MC-E0606
Engagement Manager,Digital Transformation, BRD creation for tools,Yet to Acquire,Logistics,WAPL-MC-E0606
Engagement Manager,Digital Transformation, BRD creation for tools,Yet to Acquire,Others,WAPL-MC-E0606
Engagement Manager,Digital Transformation, ERP Implementation -Netsuite,Yet to Acquire,B2B Distribution,WAPL-MC-E0606
Engagement Manager,Digital Transformation, ERP Implementation -Netsuite,Yet to Acquire,Logistics,WAPL-MC-E0606
Engagement Manager,Digital Transformation, ERP Implementation -Netsuite,Yet to Acquire,Others,WAPL-MC-E0606
Engagement Manager,Digital Transformation, ERP Optimization -Netsuite,Yet to Acquire,B2B Distribution,WAPL-MC-E0606
Engagement Manager,Digital Transformation, ERP Optimization -Netsuite,Yet to Acquire,Logistics,WAPL-MC-E0606
Engagement Manager,Digital Transformation, ERP Optimization -Netsuite,Yet to Acquire,Others,WAPL-MC-E0606
Engagement Manager,Digital Transformation, ERP Implementation -D365,Yet to Acquire,B2B Distribution,WAPL-MC-E0606
Engagement Manager,Digital Transformation, ERP Implementation -D365,Yet to Acquire,Logistics,WAPL-MC-E0606
Engagement Manager,Digital Transformation, ERP Implementation -D365,Yet to Acquire,Others,WAPL-MC-E0606
Engagement Manager,Digital Transformation, ERP Optimization -D365,Yet to Acquire,B2B Distribution,WAPL-MC-E0606
Engagement Manager,Digital Transformation, ERP Optimization -D365,Yet to Acquire,Logistics,WAPL-MC-E0606
Engagement Manager,Digital Transformation, ERP Optimization -D365,Yet to Acquire,Others,WAPL-MC-E0606
Engagement Manager,Digital Transformation, CRM Implementation -Zoho,Yet to Acquire,B2B Distribution,WAPL-MC-E0606
Engagement Manager,Digital Transformation, CRM Implementation -Zoho,Yet to Acquire,Logistics,WAPL-MC-E0606
Engagement Manager,Digital Transformation, CRM Implementation -Zoho,Yet to Acquire,Others,WAPL-MC-E0606
Engagement Manager,Digital Transformation, CRM Optimization -Zoho,Yet to Acquire,B2B Distribution,WAPL-MC-E0606
Engagement Manager,Digital Transformation, CRM Optimization -Zoho,Yet to Acquire,Logistics,WAPL-MC-E0606
Engagement Manager,Digital Transformation, CRM Optimization -Zoho,Yet to Acquire,Others,WAPL-MC-E0606
Engagement Manager,Digital Transformation, CRM Implementation -Hubspot,Yet to Acquire,B2B Distribution,WAPL-MC-E0606
Engagement Manager,Digital Transformation, CRM Implementation -Hubspot,Yet to Acquire,Logistics,WAPL-MC-E0606
Engagement Manager,Digital Transformation, CRM Implementation -Hubspot,Yet to Acquire,Others,WAPL-MC-E0606
Engagement Manager,Digital Transformation, CRM Optimization - Hubspot,Yet to Acquire,B2B Distribution,WAPL-MC-E0606
Engagement Manager,Digital Transformation, CRM Optimization - Hubspot,Yet to Acquire,Logistics,WAPL-MC-E0606
Engagement Manager,Digital Transformation, CRM Optimization - Hubspot,Yet to Acquire,Others,WAPL-MC-E0606
Engagement Manager,Digital Transformation, Consolidation Tool implementation - SAP Blackline,Yet to Acquire,B2B Distribution,WAPL-MC-E0606
Engagement Manager,Digital Transformation, Consolidation Tool implementation - SAP Blackline,Yet to Acquire,Logistics,WAPL-MC-E0606
Engagement Manager,Digital Transformation, Consolidation Tool implementation - SAP Blackline,Yet to Acquire,Others,WAPL-MC-E0606
Engagement Manager,Digital Transformation, Consolidation Tool implementation - Hyperion,Yet to Acquire,B2B Distribution,WAPL-MC-E0606
Engagement Manager,Digital Transformation, Consolidation Tool implementation - Hyperion,Yet to Acquire,Logistics,WAPL-MC-E0606
Engagement Manager,Digital Transformation, Consolidation Tool implementation - Hyperion,Yet to Acquire,Others,WAPL-MC-E0606
Engagement Manager,Digital Transformation, Procurement Tools Implementation - SAP Ariba,Yet to Acquire,B2B Distribution,WAPL-MC-E0606
Engagement Manager,Digital Transformation, Procurement Tools Implementation - SAP Ariba,Yet to Acquire,Logistics,WAPL-MC-E0606
